no;dataset;method;b;se
1;1;CC;0.706768215;0.14650996
2;1;MI_T;0.684188247;0.125504315
3;1;MI_LOGT;0.712479532;0.141081408
4;2;CC;0.348500788;0.159987882
5;2;MI_T;0.406008214;0.140983075
6;2;MI_LOGT;0.428700328;0.135858878
7;3;CC;0.649507523;0.15215683
8;3;MI_T;0.502870083;0.130078048
9;3;MI_LOGT;0.560405135;0.116851196
10;4;CC;0.432053387;0.12628527
11;4;MI_T;0.467328489;0.117701091
12;4;MI_LOGT;0.492250264;0.117977932
13;5;CC;0.42272082;0.138117373
14;5;MI_T;0.430575937;0.124658085
15;5;MI_LOGT;0.420820117;0.125124991
16;6;CC;0.615982592;0.145196393
17;6;MI_T;0.572384357;0.119388364
18;6;MI_LOGT;0.569489717;0.145912454
19;7;CC;0.581062734;0.137729883
20;7;MI_T;0.580717087;0.133902147
21;7;MI_LOGT;0.636653006;0.148522437
22;8;CC;0.480012804;0.157750338
23;8;MI_T;0.448516071;0.174252987
24;8;MI_LOGT;0.375544965;0.134866059
25;9;CC;0.2908099;0.151141673
26;9;MI_T;0.391811639;0.142639264
27;9;MI_LOGT;0.353519768;0.145330697
28;10;CC;0.53879416;0.150261119
29;10;MI_T;0.597479522;0.134327918
30;10;MI_LOGT;0.619454443;0.130409569
31;11;CC;0.541656017;0.128897667
32;11;MI_T;0.596255004;0.112105437
33;11;MI_LOGT;0.567470729;0.124461502
34;12;CC;0.447602808;0.149885416
35;12;MI_T;0.431926161;0.133955479
36;12;MI_LOGT;0.479871809;0.132497355
37;13;CC;0.653570473;0.135060474
38;13;MI_T;0.719206154;0.12512742
39;13;MI_LOGT;0.731732607;0.118803702
40;14;CC;0.303537577;0.131770104
41;14;MI_T;0.340453774;0.129303366
42;14;MI_LOGT;0.362014115;0.117612705
43;15;CC;0.644760787;0.156606928
44;15;MI_T;0.70185715;0.136039004
45;15;MI_LOGT;0.655069292;0.157072112
46;16;CC;0.387831151;0.139065683
47;16;MI_T;0.42861104;0.135847613
48;16;MI_LOGT;0.34452638;0.120126478
49;17;CC;0.637212932;0.146653056
